metrica,exactitud_global,sensibilidad_patologica,especificidad_patologica,precision_patologica
euclidean,0.7973124300111982,0.5555555555555556,0.9490950226244343,0.1
cityblock,0.7782754759238522,0.6666666666666666,0.9219457013574661,0.08
mahalanobis,0.9854423292273237,0.4444444444444444,0.996606334841629,0.5714285714285714
chebyshev,0.7973124300111982,0.4444444444444444,0.9061085972850679,0.04597701149425287
cosine,0.7928331466965286,0.5555555555555556,0.9502262443438914,0.10204081632653061
minkowski,0.8051511758118701,0.5555555555555556,0.9592760180995475,0.12195121951219512
