cost_ratio,sensibilidad_patologica,especificidad_patologica,precision_patologica,exactitud_global
1,0.5555555555555556,0.9490950226244343,0.1,0.7973124300111982
2,0.6666666666666666,0.917420814479638,0.0759493670886076,0.7760358342665173
5,0.7777777777777778,0.8223981900452488,0.042682926829268296,0.7155655095184771
10,0.7777777777777778,0.7386877828054299,0.029411764705882353,0.6494960806270996
20,0.8888888888888888,0.6719457013574661,0.026845637583892617,0.6002239641657335
50,0.8888888888888888,0.5531674208144797,0.019851116625310174,0.5027995520716685
100,0.8888888888888888,0.4604072398190045,0.016494845360824743,0.425531914893617
