sensibilidad_objetivo,umbral,sensibilidad_lograda,especificidad_lograda,precision_lograda
0.7,0.38150334978823275,0.7777777777777778,0.9343891402714932,0.1076923076923077
0.8,0.34523072068559574,0.8888888888888888,0.919683257918552,0.10126582278481013
0.9,0.15691283172590853,1.0,0.6934389140271493,0.03214285714285714
0.95,0.15691283172590853,1.0,0.6934389140271493,0.03214285714285714
